muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
129,5.16,-1211067,-2408.0290532013432,nan,-,-,-,-,-
130,5.2,-1148408,-4407.416887235544,nan,-,-,-,-,-
131,5.24,-1134733,-5360.289454223108,nan,-,-,-,-,-
132,5.28,-1138102,-5791.925158476362,nan,-,-,-,-,-
133,5.32,-1142481,-5706.228747901863,nan,-,-,-,-,-
134,5.36,-1143088,-4931.360477595499,nan,-,-,-,-,-
135,5.4,-1146507,-3299.845573954428,nan,-,-,-,-,-
136,5.44,-1146730,-1241.4790459295018,nan,-,-,-,-,-
137,5.48,-1142796,1229.7166817830903,nan,-,-,-,-,-
138,5.52,-1146690,4689.475873773765,nan,-,-,-,-,-
139,5.56,-1154797,8433.954789929745,nan,-,-,-,-,-
140,5.6,-1162768,10308.513778933124,nan,-,-,-,-,-
141,5.64,-1171941,8488.362074755165,nan,-,-,-,-,-
142,5.68,-1179494,3687.6834898497946,nan,-,-,-,-,-
143,5.72,-1187323,-816.4775264743257,nan,-,-,-,-,-
144,5.76,-1163446,-3689.2505693517705,nan,-,-,-,-,-
145,5.8,-1126306,-4725.216216861605,nan,-,-,-,-,-
146,5.84,-1121883,-4169.907125357036,nan,-,-,-,-,-
147,5.88,-1127439,-3796.88463785527,nan,-,-,-,-,-
148,5.92,-1130542,-3936.756539024945,nan,-,-,-,-,-
149,5.96,-1131230,-4002.5057608737125,nan,-,-,-,-,-
151,6.04,-1135824,-1752.722124754123,nan,-,-,-,-,-
152,6.08,-1133393,691.2842699884277,nan,-,-,-,-,-
153,6.12,-1136703,4011.808479868393,nan,-,-,-,-,-
154,6.16,-1144780,6949.637796727904,nan,-,-,-,-,-
155,6.2,-1153095,7529.391637674873,nan,-,-,-,-,-
156,6.24,-1161208,5019.802464315833,nan,-,-,-,-,-
157,6.28,-1169144,1068.4079291376074,nan,-,-,-,-,-
158,6.32,-1176422,-1753.6125409301267,nan,-,-,-,-,-
159,6.36,-1183363,-2400.745180086469,nan,-,-,-,-,-
160,6.4,-1180000,-2111.725881810122,nan,-,-,-,-,-
161,6.44,-1125658,-3473.1702975109365,nan,-,-,-,-,-
162,6.48,-1113070,-4011.508101486921,nan,-,-,-,-,-
163,6.52,-1116840,-4324.098668276594,nan,-,-,-,-,-
164,6.56,-1119647,-4428.917664220349,nan,-,-,-,-,-
165,6.6,-1118588,-3946.0259100892854,nan,-,-,-,-,-
166,6.64,-1119951,-2608.517494284779,nan,-,-,-,-,-
167,6.68,-1123662,-648.4830036394987,nan,-,-,-,-,-
168,6.72,-1122437,1659.9663075451317,nan,-,-,-,-,-
169,6.76,-1122807,4657.610223326783,nan,-,-,-,-,-
170,6.8,-1126987,7825.411345339595,nan,-,-,-,-,-
171,6.84,-1134018,9318.879889308166,nan,-,-,-,-,-
172,6.88,-1142511,7537.614931068412,nan,-,-,-,-,-
173,6.92,-1148930,3207.61003107901,nan,-,-,-,-,-
174,6.96,-1155746,-747.1410006320712,nan,-,-,-,-,-
175,7.0,-1162319,-2431.4028815403217,nan,-,-,-,-,-
176,7.04,-1170242,-2301.9772086509874,nan,-,-,-,-,-
177,7.08,-1137374,-3159.264444595101,nan,-,-,-,-,-
178,7.12,-1107820,-4249.428929884758,nan,-,-,-,-,-
179,7.16,-1111423,-4458.773807824578,nan,-,-,-,-,-
180,7.2,-1116011,-4493.81001939972,nan,-,-,-,-,-
181,7.24,-1115787,-4274.439894115242,nan,-,-,-,-,-
182,7.28,-1117187,-3437.3228733895085,nan,-,-,-,-,-
183,7.32,-1121566,-1969.6477525862647,nan,-,-,-,-,-
184,7.36,-1120560,-201.06086355268508,nan,-,-,-,-,-
185,7.4,-1120916,2182.6365611363954,nan,-,-,-,-,-
186,7.44,-1124979,5093.967606611392,nan,-,-,-,-,-
187,7.48,-1131181,7318.7670351480065,nan,-,-,-,-,-
188,7.52,-1137694,7123.361017741376,nan,-,-,-,-,-
189,7.56,-1144419,4219.193009431938,nan,-,-,-,-,-
190,7.6,-1150572,538.8410315526598,nan,-,-,-,-,-
191,7.64,-1155995,-1656.1733178007235,nan,-,-,-,-,-
192,7.68,-1160899,-1975.1068141402366,nan,-,-,-,-,-
193,7.72,-1166589,-1533.6680087744944,nan,-,-,-,-,-
194,7.76,-1156970,-1844.7652292465664,nan,-,-,-,-,-
195,7.8,-1110654,-3729.063611473379,nan,-,-,-,-,-
196,7.84,-1109678,-4212.701093934353,nan,-,-,-,-,-
197,7.88,-1116636,-4098.1533808800905,nan,-,-,-,-,-
198,7.92,-1119150,-3530.3941145684585,nan,-,-,-,-,-
199,7.96,-1120070,-2447.2708120293923,nan,-,-,-,-,-
200,8.0,-1123831,-971.4140598747945,nan,-,-,-,-,-
201,8.04,-1121868,451.3548841642023,nan,-,-,-,-,-
