muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
400,8.0,-952663,965.3587399207372,30,-,induccion,-,-
401,8.02,-954384,1201.760501575356,30,-,induccion,-,-
402,8.04,-953755,1055.5091821100186,30,-,induccion,-,-
403,8.06,-954819,854.2959914895646,30,-,induccion,-,-
404,8.08,-953732,373.34400969936155,30,-,induccion,-,-
405,8.1,-947927,-488.1125843081045,30,-,induccion,-,-
406,8.12,-941635,-1308.724431672842,30,-,induccion,-,-
407,8.14,-940168,-1605.0847349906808,30,-,induccion,-,-
408,8.16,-940020,-1599.5159599588033,30,-,induccion,-,-
409,8.18,-938398,-1486.1733551340403,30,-,induccion,-,-
410,8.2,-941378,-806.0310408908435,30,-,induccion,-,-
411,8.22,-940917,-216.37006353357367,30,-,induccion,-,-
412,8.24,-944410,768.2308609539432,30,-,induccion,-,-
413,8.26,-945564,1547.7454952471198,30,-,induccion,-,-
414,8.28,-945223,2048.45737269663,30,-,induccion,-,-
415,8.3,-947363,2448.396063083019,30,-,induccion,-,-
416,8.32,-945579,2181.505731536693,30,-,induccion,-,-
417,8.34,-944972,1652.0090797014764,30,-,induccion,-,-
418,8.36,-944631,895.8925820579834,30,-,induccion,-,-
419,8.38,-948189,349.53438561863277,30,-,induccion,-,-
420,8.4,-947160,-477.0749707801865,30,-,induccion,-,-
421,8.42,-948836,-906.1786893675298,30,-,induccion,-,-
422,8.44,-949779,-1149.720652409062,30,-,induccion,-,-
423,8.46,-949470,-1266.9663425805757,30,-,induccion,-,-
424,8.48,-950698,-1114.5372487796621,30,-,induccion,-,-
425,8.5,-945847,-1362.4164153996558,30,-,induccion,-,-
426,8.52,-939952,-1686.622444283259,30,-,induccion,-,-
427,8.54,-936004,-1873.2782864646306,30,-,induccion,-,-
428,8.56,-936823,-1678.9228419290494,30,-,induccion,-,-
429,8.58,-933952,-1692.2843953372703,30,-,induccion,-,-
430,8.6,-936129,-1179.3141702483017,30,-,induccion,-,-
431,8.62,-935386,-715.1942887198747,30,-,induccion,-,-
