muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
151,6.04,-1315213,4053.232966349595,nan,-,-,-,-,-
152,6.08,-1319848,4948.489712607052,nan,-,-,-,-,-
153,6.12,-1324673,3978.110406800157,nan,-,-,-,-,-
154,6.16,-1329606,1420.197512300997,nan,-,-,-,-,-
155,6.2,-1333804,-1083.8082609788062,nan,-,-,-,-,-
156,6.24,-1337632,-2110.395719717868,nan,-,-,-,-,-
157,6.28,-1340729,-1769.8912646696199,nan,-,-,-,-,-
158,6.32,-1344417,-1046.8192281309935,nan,-,-,-,-,-
159,6.36,-1341336,-935.9814175144984,nan,-,-,-,-,-
160,6.4,-1304697,-2384.3319915934844,nan,-,-,-,-,-
161,6.44,-1295453,-3102.629958352496,nan,-,-,-,-,-
162,6.48,-1300425,-3083.929788394009,nan,-,-,-,-,-
163,6.52,-1302861,-2603.3777712603096,nan,-,-,-,-,-
164,6.56,-1302394,-1724.8608914474887,nan,-,-,-,-,-
165,6.6,-1305652,-505.70521429624205,nan,-,-,-,-,-
166,6.64,-1306622,679.5616713753143,nan,-,-,-,-,-
167,6.68,-1307283,2010.5438160006188,nan,-,-,-,-,-
168,6.72,-1310915,3801.6486255748678,nan,-,-,-,-,-
169,6.76,-1315751,5645.152875753391,nan,-,-,-,-,-
170,6.8,-1320356,6296.103294733452,nan,-,-,-,-,-
171,6.84,-1324745,4726.524042933574,nan,-,-,-,-,-
172,6.88,-1328726,1551.2797348475506,nan,-,-,-,-,-
173,6.92,-1332112,-1260.4857711343002,nan,-,-,-,-,-
174,6.96,-1335517,-2394.1574893533125,nan,-,-,-,-,-
175,7.0,-1339107,-2261.3064018255586,nan,-,-,-,-,-
176,7.04,-1342973,-1948.5878104654844,nan,-,-,-,-,-
177,7.08,-1321360,-2784.3486634806814,nan,-,-,-,-,-
178,7.12,-1296430,-3855.32870071095,nan,-,-,-,-,-
179,7.16,-1296695,-3850.5296303533323,nan,-,-,-,-,-
180,7.2,-1301868,-3202.6259168426586,nan,-,-,-,-,-
181,7.24,-1303870,-2225.518364198685,nan,-,-,-,-,-
182,7.28,-1303510,-1134.954649708849,nan,-,-,-,-,-
183,7.32,-1307377,70.81960806101688,nan,-,-,-,-,-
184,7.36,-1308426,1202.6021228264071,nan,-,-,-,-,-
185,7.4,-1307870,2573.780756068084,nan,-,-,-,-,-
186,7.44,-1310152,4364.035011041782,nan,-,-,-,-,-
187,7.48,-1313919,5743.965000077473,nan,-,-,-,-,-
188,7.52,-1318938,5436.228142302631,nan,-,-,-,-,-
189,7.56,-1323562,3076.024388828222,nan,-,-,-,-,-
