muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
209,8.36,-1282497,-3946.8050057101427,nan,-,-,-,-,-
210,8.4,-1284335,-2261.3273460705113,nan,-,-,-,-,-
211,8.44,-1288713,-393.90423114023724,nan,-,-,-,-,-
212,8.48,-1291598,1417.6165224852684,nan,-,-,-,-,-
213,8.52,-1289623,3343.331938885425,nan,-,-,-,-,-
214,8.56,-1290275,5896.103700270041,nan,-,-,-,-,-
215,8.6,-1295060,8478.50189149718,nan,-,-,-,-,-
216,8.64,-1302265,9236.192274735386,nan,-,-,-,-,-
217,8.68,-1311394,6812.167216514659,nan,-,-,-,-,-
218,8.72,-1318681,2182.9178264803286,nan,-,-,-,-,-
219,8.76,-1325879,-1732.636671256767,nan,-,-,-,-,-
220,8.8,-1332390,-3199.2495715518216,nan,-,-,-,-,-
221,8.84,-1338359,-2829.3453156466257,nan,-,-,-,-,-
222,8.88,-1344188,-2131.724253908782,nan,-,-,-,-,-
223,8.92,-1308907,-3240.0986254256823,nan,-,-,-,-,-
224,8.96,-1279145,-4624.482744929919,nan,-,-,-,-,-
226,9.04,-1289919,-4827.07609158696,nan,-,-,-,-,-
227,9.08,-1293464,-4046.960835709502,nan,-,-,-,-,-
228,9.12,-1298985,-2538.3743643410617,nan,-,-,-,-,-
229,9.16,-1300794,-811.1206920447976,nan,-,-,-,-,-
230,9.2,-1296518,926.6611614182825,nan,-,-,-,-,-
231,9.24,-1297505,3257.7910171307803,nan,-,-,-,-,-
232,9.28,-1303485,6080.151502307821,nan,-,-,-,-,-
233,9.32,-1310337,8039.655786911098,nan,-,-,-,-,-
234,9.36,-1317135,7369.9679300314765,nan,-,-,-,-,-
235,9.4,-1323747,3886.1176556288738,nan,-,-,-,-,-
236,9.44,-1331422,-183.55128040717682,nan,-,-,-,-,-
237,9.48,-1337215,-2442.778319621735,nan,-,-,-,-,-
238,9.52,-1342555,-2406.696881912553,nan,-,-,-,-,-
239,9.56,-1344030,-1573.2643139913876,nan,-,-,-,-,-
240,9.6,-1292121,-2908.844700708687,nan,-,-,-,-,-
241,9.64,-1276397,-3849.365577197663,nan,-,-,-,-,-
242,9.68,-1280857,-4342.933598326621,nan,-,-,-,-,-
243,9.72,-1284302,-4325.035230527319,nan,-,-,-,-,-
244,9.76,-1285254,-3523.3661812674877,nan,-,-,-,-,-
245,9.8,-1289015,-2024.0165276441785,nan,-,-,-,-,-
246,9.84,-1291072,-325.10900328555,nan,-,-,-,-,-
247,9.88,-1289189,1566.810413337691,nan,-,-,-,-,-
248,9.92,-1290895,4188.71879445985,nan,-,-,-,-,-
249,9.96,-1296644,7138.287383078417,nan,-,-,-,-,-
250,10.0,-1303099,8641.3524930905,nan,-,-,-,-,-
251,10.04,-1309681,7042.533441050973,nan,-,-,-,-,-
252,10.08,-1316701,2912.636892768227,nan,-,-,-,-,-
253,10.12,-1323353,-1087.4567033832045,nan,-,-,-,-,-
254,10.16,-1329426,-2878.5797243294455,nan,-,-,-,-,-
255,10.2,-1335064,-2720.84643871742,nan,-,-,-,-,-
256,10.24,-1340865,-2084.864945873851,nan,-,-,-,-,-
257,10.28,-1311289,-3049.989314010476,nan,-,-,-,-,-
258,10.32,-1274259,-4693.751175088815,nan,-,-,-,-,-
259,10.36,-1274172,-5094.7288818430425,nan,-,-,-,-,-
260,10.4,-1278263,-4823.2224194867595,nan,-,-,-,-,-
261,10.44,-1278975,-3948.5721309431765,nan,-,-,-,-,-
262,10.48,-1281508,-2488.188257029383,nan,-,-,-,-,-
263,10.52,-1284718,-783.7939747029377,nan,-,-,-,-,-
264,10.56,-1283813,981.8398862998993,nan,-,-,-,-,-
265,10.6,-1284649,3292.226172802675,nan,-,-,-,-,-
266,10.64,-1289432,6196.298906798907,nan,-,-,-,-,-
267,10.68,-1295824,8477.856076525994,nan,-,-,-,-,-
268,10.72,-1302946,8298.149313899485,nan,-,-,-,-,-
269,10.76,-1310005,5127.912811391634,nan,-,-,-,-,-
270,10.8,-1316509,843.7690419633527,nan,-,-,-,-,-
271,10.84,-1322519,-2011.18373970224,nan,-,-,-,-,-
272,10.88,-1327949,-2696.267369606393,nan,-,-,-,-,-
273,10.92,-1333157,-2302.5775682282406,nan,-,-,-,-,-
274,10.96,-1338673,-2051.4321668035363,nan,-,-,-,-,-
275,11.0,-1336140,-2580.4701843163975,nan,-,-,-,-,-
276,11.04,-1286560,-4816.41571042798,nan,-,-,-,-,-
277,11.08,-1271873,-5605.918509471296,nan,-,-,-,-,-
278,11.12,-1275004,-5143.974450158548,nan,-,-,-,-,-
279,11.16,-1278517,-3974.8754870133707,nan,-,-,-,-,-
280,11.2,-1279272,-2455.606875892254,nan,-,-,-,-,-
281,11.24,-1281777,-760.304494533616,nan,-,-,-,-,-
282,11.28,-1285272,952.1340599032319,nan,-,-,-,-,-
283,11.32,-1283889,2733.6810189197386,nan,-,-,-,-,-
284,11.36,-1283868,5119.769325203606,nan,-,-,-,-,-
285,11.4,-1288532,7787.379761258064,nan,-,-,-,-,-
286,11.44,-1294585,8995.764668693515,nan,-,-,-,-,-
287,11.48,-1301617,7203.589502734203,nan,-,-,-,-,-
288,11.52,-1308854,3029.3785962559177,nan,-,-,-,-,-
289,11.56,-1315584,-928.6820495353786,nan,-,-,-,-,-
290,11.6,-1321703,-2728.4188761105324,nan,-,-,-,-,-
291,11.64,-1327599,-2663.778757707677,nan,-,-,-,-,-
292,11.68,-1333697,-2121.7431269071094,nan,-,-,-,-,-
293,11.72,-1330219,-2272.182816167132,nan,-,-,-,-,-
294,11.76,-1282020,-4260.989950300136,nan,-,-,-,-,-
295,11.8,-1274013,-5006.02762512269,nan,-,-,-,-,-
296,11.84,-1279466,-4955.235026876628,nan,-,-,-,-,-
297,11.88,-1284223,-4290.071683002969,nan,-,-,-,-,-
298,11.92,-1287154,-3064.8510377151483,nan,-,-,-,-,-
299,11.96,-1292235,-1434.4841881304792,nan,-,-,-,-,-
301,12.04,-1287874,1866.5997749536182,nan,-,-,-,-,-
302,12.08,-1290543,4335.49721643579,nan,-,-,-,-,-
303,12.12,-1296950,6951.608751157064,nan,-,-,-,-,-
304,12.16,-1303167,7975.2137730850845,nan,-,-,-,-,-
305,12.2,-1310483,6102.747761426888,nan,-,-,-,-,-
306,12.24,-1317249,2128.7132355718913,nan,-,-,-,-,-
307,12.28,-1323834,-1319.972170463032,nan,-,-,-,-,-
308,12.32,-1329391,-2527.949192349847,nan,-,-,-,-,-
309,12.36,-1334441,-1976.8565172750173,nan,-,-,-,-,-
310,12.4,-1338821,-1200.6936610139446,nan,-,-,-,-,-
311,12.44,-1304616,-2357.5237583002345,nan,-,-,-,-,-
312,12.48,-1272633,-4071.425356535612,nan,-,-,-,-,-
313,12.52,-1271080,-4779.894866328828,nan,-,-,-,-,-
314,12.56,-1275249,-4634.102374120384,nan,-,-,-,-,-
315,12.6,-1277063,-3700.5769458756945,nan,-,-,-,-,-
316,12.64,-1277989,-2225.522582284741,nan,-,-,-,-,-
317,12.68,-1282393,-440.41297410411244,nan,-,-,-,-,-
318,12.72,-1283391,1410.3089674299154,nan,-,-,-,-,-
319,12.76,-1281876,3648.515458229316,nan,-,-,-,-,-
320,12.8,-1285808,6441.9250063991785,nan,-,-,-,-,-
321,12.84,-1292031,8480.6718869405,nan,-,-,-,-,-
322,12.88,-1299475,7988.710689239675,nan,-,-,-,-,-
323,12.92,-1307988,4655.485444491776,nan,-,-,-,-,-
324,12.96,-1315511,413.9274269515754,nan,-,-,-,-,-
325,13.0,-1322750,-2282.598367973187,nan,-,-,-,-,-
326,13.04,-1328796,-2879.4989383141437,nan,-,-,-,-,-
327,13.08,-1334708,-2458.8209904984506,nan,-,-,-,-,-
