muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
174,6.96,-1436854,632.3186680579765,90,-,-,-,-
175,7.0,-1437188,979.5756664615701,90,-,-,-,-
176,7.04,-1437765,1238.0709135757088,90,-,-,-,-
177,7.08,-1438447,1147.8649730043066,90,-,-,-,-
178,7.12,-1439676,647.1807551887105,90,-,-,-,-
179,7.16,-1440163,-22.736628299086533,90,-,-,-,-
180,7.2,-1441168,-442.63840317927384,90,-,-,-,-
181,7.24,-1441476,-555.5074084305511,90,-,-,-,-
182,7.28,-1442387,-493.35989117512077,90,-,-,-,-
183,7.32,-1442935,-446.730719200889,90,-,-,-,-
184,7.36,-1444292,-404.94745272073357,90,-,-,-,-
185,7.4,-1442750,-461.7896153891061,90,-,-,-,-
186,7.44,-1434573,-720.7909109438378,90,-,-,-,-
187,7.48,-1433623,-716.9848050920691,90,-,-,-,-
188,7.52,-1434779,-584.9368301164941,90,-,-,-,-
189,7.56,-1435673,-388.49966935578107,90,-,-,-,-
190,7.6,-1435658,-175.71947094147316,90,-,-,-,-
191,7.64,-1436450,58.0080559655496,90,-,-,-,-
192,7.68,-1436378,244.12369648361187,90,-,-,-,-
193,7.72,-1436383,473.3768018181611,90,-,-,-,-
194,7.76,-1436933,828.1407265064083,90,-,-,-,-
195,7.8,-1437880,1211.801999079647,90,-,-,-,-
196,7.84,-1438915,1319.6337479953904,90,-,-,-,-
197,7.88,-1440124,933.4543000479621,90,-,-,-,-
198,7.92,-1440351,200.35996232768775,90,-,-,-,-
199,7.96,-1440957,-373.4342636747041,90,-,-,-,-
200,8.0,-1441308,-550.2952461784366,90,-,-,-,-
201,8.04,-1441988,-447.72769734379204,90,-,-,-,-
202,8.08,-1442573,-340.2486540517383,90,-,-,-,-
203,8.12,-1443549,-327.9588763042724,90,-,-,-,-
204,8.16,-1444734,-377.8702569051724,90,-,-,-,-
205,8.2,-1444971,-442.60170967993827,90,-,-,-,-
206,8.24,-1440664,-575.7345170702565,90,-,-,-,-
207,8.28,-1434317,-679.5782570811489,90,-,-,-,-
208,8.32,-1434772,-499.55183088892045,90,-,-,-,-
209,8.36,-1436227,-274.75700117510473,90,-,-,-,-
210,8.4,-1436949,-99.07337783533757,90,-,-,-,-
211,8.44,-1437202,29.681687926814448,90,-,-,-,-
212,8.48,-1437025,134.33918873254288,90,-,-,-,-
213,8.52,-1436887,285.48499940033776,90,-,-,-,-
214,8.56,-1437473,579.2733498062867,90,-,-,-,-
215,8.6,-1438095,983.3688134086983,90,-,-,-,-
216,8.64,-1439656,1314.9786256189786,90,-,-,-,-
217,8.68,-1440391,1205.77503263567,90,-,-,-,-
218,8.72,-1441066,614.00747475057,90,-,-,-,-
219,8.76,-1442185,-93.77428468883272,90,-,-,-,-
220,8.8,-1442231,-523.3258216212985,90,-,-,-,-
221,8.84,-1443243,-514.7908698030575,90,-,-,-,-
