muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
70,2.8,-16775620,-38.23173048512076,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
71,2.84,-16775557,-4.539249813885848,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
72,2.88,-16775531,8.51591012602833,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
73,2.92,-16775570,27.534108514596785,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
74,2.96,-16775477,-58.66591105375286,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
75,3.0,-16775574,17.673340561778314,nan,nan,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
76,3.04,-16775660,-5.062066164863801,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
77,3.08,-16775589,-6.814369611894241,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
78,3.12,-16775481,7.983669609499859,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
79,3.16,-16775555,9.3029125885528,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
80,3.2,-16775592,14.73374024299218,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
81,3.24,-16775578,3.452863714272467,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
82,3.28,-16775574,14.450251294324387,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
83,3.32,-16775638,6.972345318909251,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
84,3.36,-16775534,-5.816150157551721,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
85,3.4,-16775624,-1.8224223551149779,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
86,3.44,-16775512,-17.912175732849597,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
87,3.48,-16775538,0.0821446855028587,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
88,3.52,-16775592,18.844721131861345,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
89,3.56,-16775409,2.0349036849577677,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
90,3.6,-16775570,-6.9699912664697,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
91,3.64,-16775596,21.27906193747134,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
92,3.68,-16775655,20.006732396335714,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
93,3.72,-16775677,31.299211513135887,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
94,3.76,-16775701,43.34966330185698,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
95,3.8,-16775664,6.902336224073908,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
96,3.84,-16775622,-2.9882501555919054,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
97,3.88,-16775451,5.8202533238077745,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
98,3.92,-16775501,-8.081874327682264,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
99,3.96,-16775639,-9.221205992643927,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
100,4.0,-16775492,-37.14341783600603,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
101,4.04,-16775558,-14.875966363730946,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
102,4.08,-16775503,0.1861945142630823,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
103,4.12,-16775598,4.815660710753992,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
104,4.16,-16775533,4.3777766512387455,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
105,4.2,-16775568,22.94504757504363,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
106,4.24,-16775690,13.840021891039735,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
107,4.28,-16775665,27.015306278044452,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
108,4.32,-16775556,1.7870107787330038,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
109,4.36,-16775644,-12.184324513366132,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
110,4.4,-16775547,-9.199766880963605,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
111,4.44,-16775719,2.236306071748129,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
112,4.48,-16775519,10.586786723812034,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
113,4.52,-16775558,-10.888688070668973,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
114,4.56,-16775705,-19.17278257305318,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
115,4.6,-16775585,-5.469562464982425,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
116,4.64,-16775501,-35.72504496145997,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
117,4.68,-16775620,-17.950591720307568,nan,-,-,-,-,Desconexión,"[50, 20, 15]",Desconexión del sensor
