muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento,alarma,limites_alarma,descripcion_alarma
95,3.8,-16775516,-5.040036386713279,nan,-,-,-,-,-,"[50, 20, 15]",-
96,3.84,-16775469,-10.846138685120486,nan,-,-,-,-,-,"[50, 20, 15]",-
97,3.88,-16775621,-6.1832701847383165,nan,-,-,-,-,-,"[50, 20, 15]",-
98,3.92,-16775524,-6.800626042954197,nan,-,-,-,-,-,"[50, 20, 15]",-
99,3.96,-16775503,5.89786772550566,nan,-,-,-,-,-,"[50, 20, 15]",-
100,4.0,-16775524,9.786032917880192,nan,-,-,-,-,-,"[50, 20, 15]",-
101,4.04,-16775466,-4.116701575266643,nan,-,-,-,-,-,"[50, 20, 15]",-
102,4.08,-16775544,-0.20981792416388248,nan,-,-,-,-,-,"[50, 20, 15]",-
103,4.12,-16775401,-6.957813097115373,nan,-,-,-,-,-,"[50, 20, 15]",-
104,4.16,-16775429,-6.874066780987534,nan,-,-,-,-,-,"[50, 20, 15]",-
105,4.2,-16775514,-5.281223564005927,nan,-,-,-,-,-,"[50, 20, 15]",-
106,4.24,-16775487,-0.06698486595224584,nan,-,-,-,-,-,"[50, 20, 15]",-
107,4.28,-16775469,-1.471815930178862,nan,-,-,-,-,-,"[50, 20, 15]",-
108,4.32,-16775540,-8.770599571386764,nan,-,-,-,-,-,"[50, 20, 15]",-
109,4.36,-16775565,27.494134177094143,nan,-,-,-,-,-,"[50, 20, 15]",-
110,4.4,-16775482,9.612475482925122,nan,-,-,-,-,-,"[50, 20, 15]",-
111,4.44,-16775550,6.409225994679567,nan,-,-,-,-,-,"[50, 20, 15]",-
112,4.48,-16775602,15.657251194351648,nan,-,-,-,-,-,"[50, 20, 15]",-
113,4.52,-16775487,-0.08715747595646628,nan,-,-,-,-,-,"[50, 20, 15]",-
114,4.56,-16775487,15.023630134270773,nan,-,-,-,-,-,"[50, 20, 15]",-
115,4.6,-16775501,-15.584604370434889,nan,-,-,-,-,-,"[50, 20, 15]",-
116,4.64,-16775461,-15.84423208417283,nan,-,-,-,-,-,"[50, 20, 15]",-
117,4.68,-16775490,-2.1491946974437366,nan,-,-,-,-,-,"[50, 20, 15]",-
118,4.72,-16775538,-6.143463649313751,nan,-,-,-,-,-,"[50, 20, 15]",-
119,4.76,-16775501,-14.28954626531208,nan,-,-,-,-,-,"[50, 20, 15]",-
120,4.8,-16775485,-1.665101229662455,nan,-,-,-,-,-,"[50, 20, 15]",-
121,4.84,-16775500,4.650728207923186,nan,-,-,-,-,-,"[50, 20, 15]",-
122,4.88,-16775557,32.79653783709958,nan,-,-,-,-,-,"[50, 20, 15]",-
123,4.92,-16775564,-4.040550022816566,nan,-,-,-,-,-,"[50, 20, 15]",-
124,4.96,-16775549,-31.222583462505895,nan,-,-,-,-,-,"[50, 20, 15]",-
125,5.0,-16775531,1.3502759304016987,nan,-,-,-,-,-,"[50, 20, 15]",-
126,5.04,-16775488,-5.3109301009808885,nan,-,-,-,-,-,"[50, 20, 15]",-
127,5.08,-16775516,-0.31027771569061624,nan,-,-,-,-,-,"[50, 20, 15]",-
128,5.12,-16775509,-16.305299247587115,nan,-,-,-,-,-,"[50, 20, 15]",-
129,5.16,-16775570,-5.293031365751485,nan,-,-,-,-,-,"[50, 20, 15]",-
130,5.2,-16775507,2.809687424759436,nan,-,-,-,-,-,"[50, 20, 15]",-
131,5.24,-16775564,-3.4357284835435022,nan,-,-,-,-,-,"[50, 20, 15]",-
132,5.28,-16775501,3.2642302218255375,nan,-,-,-,-,-,"[50, 20, 15]",-
133,5.32,-16775502,-8.34292983132289,nan,-,-,-,-,-,"[50, 20, 15]",-
134,5.36,-16775518,4.723660426307274,nan,-,-,-,-,-,"[50, 20, 15]",-
135,5.4,-16775534,12.046773166240941,nan,-,-,-,-,-,"[50, 20, 15]",-
136,5.44,-16775581,4.9090247302044245,nan,-,-,-,-,-,"[50, 20, 15]",-
137,5.48,-16775490,1.6774194978276649,nan,-,-,-,-,-,"[50, 20, 15]",-
138,5.52,-16775445,-16.907164812798733,nan,-,-,-,-,-,"[50, 20, 15]",-
139,5.56,-16775424,-11.785921923148901,nan,-,-,-,-,-,"[50, 20, 15]",-
140,5.6,-16775410,-15.17923825463905,nan,-,-,-,-,-,"[50, 20, 15]",-
